Time,Time Code,Guinea,Liberia,Sierra Leone
1960,YR1960,0,0,322009471.6
1961,YR1961,0,..,327834680.6
1962,YR1962,0,..,342721579.8
1963,YR1963,0,..,348546952.1
1964,YR1964,0,..,371848114.7
1965,YR1965,0,..,359379856.2
1966,YR1966,0,..,375479849.8
1967,YR1967,0,..,348795303
1968,YR1968,0,..,329860091.9
1969,YR1969,0,..,408690163.5
1970,YR1970,0,..,434410373.8
1971,YR1971,0,..,419549425.1
1972,YR1972,0,..,465381090
1973,YR1973,0,..,575230234.4
1974,YR1974,0,..,648590642.9
1975,YR1975,0,..,679335901.1
1976,YR1976,0,..,594895672.3
1977,YR1977,0,..,691777758.4
1978,YR1978,0,..,960728338.9
1979,YR1979,0,..,1109374722
1980,YR1980,0,..,1100685845
1981,YR1981,0,..,1114830472
1982,YR1982,0,..,1295361886
1983,YR1983,0,..,995104305.3
1984,YR1984,0,..,1087471862
1985,YR1985,0,..,856890498.6
1986,YR1986,1922600899,..,490181456.6
1987,YR1987,2041538057,..,701307602.3
1988,YR1988,2384295764,..,1055083945
1989,YR1989,2432029380,..,932974411.9
1990,YR1990,2666616177,..,649644826.8
1991,YR1991,3014890569,..,779981458.9
1992,YR1992,3284625277,..,679997997.6
1993,YR1993,3279063318,..,768812334.8
1994,YR1994,3383218923,..,911915970.7
1995,YR1995,3693753379,..,870758739.4
1996,YR1996,3869032271,..,941742152.7
1997,YR1997,3783788551,..,850218033.6
1998,YR1998,3588376057,..,672375927.3
1999,YR1999,3461282294,..,669384768.9
2000,YR2000,2995360969,874000000,635874002.2
2001,YR2001,2833442750,906000000,1090467712
2002,YR2002,2949637039,927000000,1253340520
2003,YR2003,3446442219,748000000,1385810072
2004,YR2004,3666349049,897000000,1448536631
2005,YR2005,2937071767,949000000,1650494367
2006,YR2006,4220019243,1119000000,1885112202
2007,YR2007,6281917656,1373000000,2158496873
2008,YR2008,6964179194,1726000000,2505458705
2009,YR2009,6716904569,1768000000,2453899847
2010,YR2010,6853467858,1998000000,2578026297
2011,YR2011,6785137173,2398000000,2942546781
2012,YR2012,7638045254,2721000000,3801862611
2013,YR2013,8376613843,3067000000,4920343195
2014,YR2014,8778473615,3144000000,5015157816
2015,YR2015,8794202444,3177000000,4218723875
2016,YR2016,8603833218,3277826000,3674794530
2017,YR2017,10324668267,3285455000,3739577973
2018,YR2018,10907214994,3264000000,4085114794
